文件,输入MB,输出MB,状态
units\Ghost_Squad_Antina_01.png,2.38,0.28,OK
units\Ghost_Squad_Valen_00.png,0.92,0.13,OK
units\Ghost_Squad_Vez_02.png,5.68,0.24,OK
units\Ghost_Squad_Valen_01.png,1.70,0.25,OK
units\Ghost_Squad_Vez_00.png,0.94,0.13,OK
units\Green_Spirit_Squad_Eva_02.png,5.94,0.26,OK
units\Green_Spirit_Squad_Eva_00.png,0.52,0.09,OK
units\Ghost_Squad_Vez_01.png,1.96,0.23,OK
units\Green_Spirit_Squad_Glanz_00.png,0.73,0.13,OK
units\Green_Spirit_Squad_Glanz_02.png,5.89,0.28,OK
units\Green_Spirit_Squad_Eva_01.png,1.87,0.29,OK
units\Green_Spirit_Squad_Grace_02.png,5.62,0.25,OK
units\Green_Spirit_Squad_Glanz_01.png,2.51,0.47,OK
units\Green_Spirit_Squad_Grace_00.png,0.61,0.11,OK
units\Illustration_Squad_Kuranas_02.png,7.67,0.34,OK
units\Illustration_Squad_Kuranas_00.png,0.76,0.13,OK
units\Green_Spirit_Squad_Grace_01.png,1.62,0.21,OK
units\Illustration_Squad_Soline_02.png,7.58,0.37,OK
units\Illustration_Squad_Swali_00.png,0.59,0.11,OK
units\Illustration_Squad_Kuranas_01.png,2.07,0.28,OK
units\Illustration_Squad_Soline_01.png,2.10,0.36,OK
units\mauxir_lotus_pedestal.png,5.94,0.40,OK
units\Illustration_Squad_Swali_02.png,7.96,0.41,OK
units\Messenger_Squad_Ah_Hua_01.png,5.97,0.29,OK
units\Illustration_Squad_Soline_00.png,1.15,0.25,OK
units\Messenger_Squad_Gena_01.png,5.68,0.23,OK
units\Illustration_Squad_Swali_01.png,1.92,0.27,OK
units\Messenger_Squad_WALL_E_01.png,5.75,0.23,OK
units\Messenger_Squad_Ah_Hua_00.png,0.63,0.12,OK
units\Messenger_Squad_Gena_00.png,0.47,0.09,OK
units\Mingyi_Squad_Jin_Lang_02.png,6.03,0.27,OK
units\Messenger_Squad_WALL_E_00.png,0.72,0.09,OK
units\Mingyi_Squad_Jin_Lang_00.png,0.54,0.09,OK
units\Mingyi_Squad_Zhe_hao_00.png,0.93,0.15,OK
units\Mingyi_Squad_Zhe_hao_02.png,5.84,0.24,OK
units\Mingyi_Squad_Jin_Lang_01.png,2.27,0.20,OK
units\Mingyi_Squad_Zhu_He_02.png,5.94,0.25,OK
units\Mingyi_Squad_Zhe_hao_01.png,1.79,0.23,OK
units\Mingyi_Squad_Zhu_He_00.png,0.79,0.10,OK
units\Mirror_pupu.png,5.33,0.26,OK
units\Mirror.png,2.71,0.16,OK
units\Poet_Squad_Caitlin_02.png,5.50,0.30,OK
units\Poet_Squad_Caitlin_00.png,0.80,0.11,OK
units\Mingyi_Squad_Zhu_He_01.png,2.43,0.18,OK
units\Poet_Squad_Kelo_02.png,5.30,0.33,OK
units\Poet_Squad_Caitlin_01.png,1.70,0.24,OK
units\Poet_Squad_Kelo_00.png,0.81,0.13,OK
units\Poet_Squad_Oisin_02.png,5.56,0.34,OK
units\Poet_Squad_Kelo_01.png,1.40,0.14,OK
units\Poet_Squad_Oisin_00.png,0.48,0.08,OK
units\SacredChants_Squad_European_Angelica_02.png,5.70,0.22,OK
units\SacredChants_Squad_European_Angelica_00.png,0.71,0.10,OK
units\Poet_Squad_Oisin_01.png,2.01,0.29,OK
units\SacredChants_Squad_Loka_02.png,6.30,0.32,OK
units\SacredChants_Squad_Loka_00.png,0.71,0.13,OK
units\SacredChants_Squad_Shalo_00.png,0.96,0.14,OK
units\SacredChants_Squad_Shalo_02.png,1.54,0.11,OK
units\SacredChants_Squad_Loka_01.png,1.68,0.22,OK
units\SacredChants_Squad_European_Angelica_01.png,2.39,0.34,OK
